Original,Filted,Tag
6.896257401,24.26624298,Sketch
6.890058517,32.74583817,Sketch
6.851434708,31.02588654,Sketch
6.862401962,36.18431091,Sketch
6.87623024,36.55862808,Sketch
6.86788559,32.81712532,Sketch
6.878376007,33.670187,Sketch
6.871700287,34.31868553,Sketch
6.867170334,34.77501869,Sketch
6.896495819,33.70690346,Sketch
6.839752197,35.05563736,Sketch
6.877183914,35.8402729,Sketch
6.860971451,38.17081451,Sketch
6.861209869,35.52150726,Sketch
6.846427917,35.19010544,Sketch
6.88791275,34.80410576,Sketch
6.829023361,35.65311432,Sketch
6.867170334,35.09283066,Sketch
6.844758987,31.74066544,Sketch
6.82926178,38.54084015,Sketch
6.860733032,38.50197792,Sketch
6.808996201,38.56301308,Sketch
6.877660751,36.90385818,Sketch
6.827116013,36.05556488,Sketch
6.865262985,38.91515732,Sketch
6.837844849,36.44943237,Sketch
6.852865219,38.05279732,Sketch
6.839752197,35.86173058,Sketch
7.927417755,34.59501266,Sketch
6.845235825,33.4815979,Sketch
6.8359375,27.17162132,Sketch
6.808519363,23.09656143,Sketch
6.810665131,29.62493896,Sketch
6.802082062,34.16895866,Sketch
6.824493408,33.99181366,Sketch
6.827354431,34.63721275,Sketch
6.808519363,35.58158875,Sketch
6.816864014,31.94832802,Sketch
6.842136383,32.04369545,Sketch
6.852149963,32.44256973,Sketch
6.839752197,33.07008743,Sketch
6.796598434,33.57076645,Sketch
6.833791733,33.5085392,Sketch
6.843328476,38.56539726,Sketch
6.969213486,35.09807587,Sketch
6.849765778,37.58239746,Sketch
6.826162338,27.05955505,Sketch
6.819486618,33.69832039,Sketch
6.838321686,27.43911743,Sketch
6.818056107,32.4511528,Sketch
6.780385971,20.56503296,Print
6.802082062,15.40517807,Print
6.792068481,22.0208168,Print
6.78563118,21.42500877,Print
6.738185883,22.1889019,Print
6.808757782,22.34196663,Print
6.787061691,22.00055122,Print
6.793022156,22.61567116,Print
6.802797318,22,Print
6.798505783,22.40037918,Print
6.80232048,22.69792557,Print
6.793260574,22.17769623,Print
6.830453873,22.06754684,Print
6.811618805,22.53484726,Print
6.800889969,22.59373665,Print
6.847381592,22.67718315,Print
6.831169128,23.04887772,Print
6.843090057,22.94039726,Print
6.796121597,22.85408974,Print
6.814241409,20.69544792,Print
6.815671921,19.37818527,Print
6.831169128,21.44837379,Print
6.78396225,21.23475075,Print
6.805181503,22.16434479,Print
6.791830063,22,Print
6.802797318,21.90160751,Print
6.803274155,21.94046974,Print
6.830215454,21.73924446,Print
6.833553314,22.42898941,Print
6.82592392,22.19772339,Print
6.811857224,20.78056335,Print
6.827831268,22.81141281,Print
6.789922714,23.07128906,Print
6.791353226,22.58515358,Print
6.811618805,21,Print
6.772994995,21.38853073,Print
6.829977036,21.37851715,Print
6.820440292,19.6480751,Print
6.799221039,22.55702019,Print
6.855010986,22.81332016,Print
6.831407547,22.80783653,Print
6.808519363,18.9435482,Print
6.807565689,22,Print
6.814479828,20.19500732,Print
6.843090057,21.94643021,Print
6.791353226,22.16649055,Print
6.803035736,22.52459526,Print
6.799697876,22.78828621,Print
6.850481033,21.74091339,Print
6.827354431,19.82188225,Print
